6.8453,9.4972
22.6449,42.4334
23.5847,34.4605
13.3569,19.4104
12.1529,20.8231
9.4095,15.1762
17.8047,24.7850
14.3450,22.5979
24.2490,33.7972
20.8207,33.4451
13.5593,19.1800
20.8222,30.4828
4.8761,9.1138
20.1586,29.0545
4.0666,6.2152
10.1490,16.5877
16.8292,23.2192
23.1736,36.0034
10.3024,14.4845
9.2206,13.0257
17.9942,26.9747
24.7382,33.3160
13.8337,11.3403
6.5890,10.1302
23.2367,35.0311
23.8690,35.2539
9.8316,17.1130
14.9127,21.5278
7.2496,13.3434
4.3072,8.0265
10.8091,16.3555
24.8089,37.0532
14.7760,21.5220
22.4064,32.4806
5.4153,-1.2278
9.9672,6.2208
13.8469,21.2097
19.9972,26.7982
23.3748,36.8779
12.2535,21.7453
23.5108,33.9536
14.4919,23.5398
20.8430,32.0140
22.8282,33.3178
14.1247,21.4657
21.8065,34.1328
9.8103,13.3209
11.1448,18.8268
6.2066,22.5594
14.9861,22.0205
17.6187,28.8736
22.8918,35.2386
6.1812,12.2975
10.5466,16.6238
5.6402,8.3433
23.6953,34.6087
24.1408,32.4066
8.0161,11.9769
24.0344,36.6439
13.3250,19.3756
9.5319,15.9138
18.0679,30.3330
11.9016,7.8546
24.6948,37.0695
18.0085,24.8962
24.8208,38.1569
24.4449,37.6240
7.8106,11.9516
13.2688,19.1292
18.1287,26.7198
17.7249,24.9385
12.0438,19.6770
18.0539,28.8518
19.1165,28.9401
20.4507,27.9176
10.7406,19.4280
6.0383,11.1725
21.5228,32.4791
4.5297,5.9241
9.0141,14.4499
21.9993,32.8641
5.0597,9.2404
8.0763,14.1732
13.9940,20.3262
8.9389,13.7863
11.5411,27.0177
7.0484,11.5229
6.8484,8.8499
6.0535,11.9097
7.1854,12.7652
7.0349,12.9820
4.6190,8.2230
19.3135,39.4640
18.2001,36.7305
13.3143,22.9963
6.6224,19.3903
7.6912,10.7138
16.8037,25.3224
9.7099,15.8404
18.9680,32.0747
