56	0	27.0	0	0	1
69	0	46.0	0	1	1
46	1	46.0	1	1	0
32	1	117.0	0	1	0
60	0	40.0	1	1	0
25	1	49.0	1	1	1
38	1	116.0	1	1	1
56	1	47.0	1	1	1
36	0	83.0	1	0	1
40	0	116.0	1	0	1
28	0	88.0	0	1	1
28	1	80.0	1	1	1
41	1	67.0	1	0	1
53	0	38.0	1	1	1
57	0	23.0	0	1	0
41	0	71.0	0	0	0
20	0	83.0	1	1	0
39	1	68.0	0	0	0
19	0	36.0	1	1	1
41	1	71.0	1	0	1
61	0	111.0	0	0	0
47	1	49.0	1	0	1
55	0	112.0	0	1	0
19	0	65.0	0	0	1
38	0	25.0	1	1	0
50	0	118.0	1	1	1
29	1	56.0	0	1	1
39	0	43.0	1	1	0
61	1	112.0	1	0	1
42	1	71.0	1	0	0
66	0	72.0	0	1	0
44	1	114.0	0	1	0
59	0	118.0	1	0	0
45	1	79.0	0	1	1
33	1	116.0	0	0	1
32	1	82.0	0	1	1
64	0	104.0	0	1	0
68	0	51.0	0	0	1
61	0	106.0	1	1	0
69	0	52.0	1	0	1
20	1	86.0	1	1	1
54	1	37.0	0	1	1
68	0	44.0	0	1	0
24	1	114.0	1	0	1
38	1	73.0	0	1	1
26	1	77.0	1	1	0
56	0	86.0	1	1	1
35	0	65.0	1	1	0
21	1	43.0	0	0	1
42	0	51.0	0	0	0
31	0	66.0	1	1	0
67	0	105.0	1	0	1
26	0	42.0	1	1	0
43	0	85.0	1	1	0
19	1	46.0	0	1	0
37	0	21.0	0	0	0
45	1	109.0	1	0	0
64	1	36.0	1	0	0
24	0	52.0	0	0	1
61	1	28.0	0	0	0
25	1	62.0	1	0	0
64	1	67.0	1	0	1
52	0	58.0	1	0	1
31	0	112.0	0	0	1
34	1	61.0	0	1	1
53	0	45.0	0	0	1
67	0	118.0	1	0	1
57	0	69.0	1	0	1
21	0	44.0	0	0	0
19	1	43.0	0	0	0
23	1	32.0	1	0	1
59	0	79.0	0	0	0
21	0	26.0	0	0	0
46	1	76.0	1	0	0
35	1	55.0	0	0	1
43	0	64.0	1	0	1
61	1	39.0	1	1	0
51	0	84.0	1	1	1
27	0	27.0	1	0	0
53	1	35.0	1	0	0
31	1	33.0	1	1	0
48	0	95.0	1	0	0
65	0	106.0	0	1	1
32	1	34.0	1	1	1
25	0	111.0	1	1	1
31	1	117.0	0	1	0
40	0	85.0	0	1	1
57	1	51.0	0	0	0
38	1	106.0	1	1	1
33	1	82.0	0	0	0
62	0	105.0	1	0	0
35	0	70.0	1	1	0
64	1	44.0	1	1	1
41	0	77.0	1	0	1
43	1	82.0	0	1	1
42	1	81.0	0	1	1
62	0	41.0	1	0	0
58	0	77.0	1	0	1
46	1	77.0	1	1	1
32	0	105.0	0	0	0
62	0	68.0	1	1	0
18	1	71.0	1	1	0
42	1	61.0	0	1	1
24	0	89.0	0	0	0
26	1	34.0	1	0	0
41	1	73.0	0	0	0
18	0	79.0	0	0	1
61	1	116.0	1	0	0
25	1	27.0	0	1	1
41	0	72.0	1	1	1
28	0	79.0	0	1	0
68	1	24.0	1	1	0
34	1	87.0	1	0	1
25	0	25.0	1	1	0
52	0	115.0	0	0	0
52	0	113.0	1	1	1
50	0	66.0	0	0	1
22	1	118.0	1	0	0
59	0	74.0	1	1	1
56	0	59.0	0	1	0
58	1	71.0	1	1	0
45	0	35.0	1	1	0
24	1	32.0	0	0	1
26	0	49.0	1	1	0
25	0	38.0	1	1	0
29	0	36.0	1	0	0
51	1	82.0	1	1	1
50	1	38.0	0	1	1
65	0	111.0	0	1	1
40	1	77.0	1	1	1
41	1	74.0	0	1	1
54	1	109.0	1	0	0
52	1	109.0	0	1	1
61	1	81.0	1	1	1
57	1	42.0	1	1	1
39	0	28.0	1	1	0
44	0	31.0	1	1	1
52	1	20.0	1	0	1
18	0	77.0	1	1	0
52	0	20.0	0	0	1
54	0	53.0	1	0	0
64	0	115.0	0	1	0
31	1	67.0	1	1	0
20	0	108.0	0	1	0
18	0	20.0	0	1	0
22	1	35.0	0	0	1
43	1	80.0	1	1	0
31	0	83.0	1	1	0
56	0	82.0	0	1	1
44	0	88.0	1	1	0
26	0	41.0	0	1	1
32	0	112.0	1	1	1
32	0	86.0	0	0	1
43	1	95.0	0	0	0
59	0	45.0	1	1	0
30	0	35.0	0	1	0
68	1	70.0	1	1	1
49	1	105.0	0	0	0
56	1	76.0	0	1	0
66	1	48.0	1	0	0
69	0	97.0	1	1	1
49	0	111.0	1	1	1
21	0	88.0	0	1	0
47	0	66.0	1	1	0
54	0	113.0	0	0	0
40	0	81.0	0	0	0
56	1	88.0	1	1	1
62	0	95.0	1	1	1
32	1	35.0	0	0	1
60	1	109.0	0	0	1
46	0	109.0	1	0	0
53	1	67.0	1	0	0
30	0	104.0	1	1	0
49	1	58.0	1	0	1
24	0	119.0	1	1	0
68	1	52.0	0	0	1
39	0	113.0	0	0	1
45	0	42.0	0	0	0
19	0	29.0	0	0	0
59	0	88.0	1	0	0
62	0	119.0	1	1	1
23	1	53.0	1	1	0
45	1	71.0	0	0	1
45	1	114.0	0	0	0
61	0	29.0	1	1	1
61	1	38.0	1	0	1
37	0	77.0	0	0	0
47	0	115.0	0	1	1
28	1	20.0	1	0	1
45	1	88.0	1	0	0
42	0	23.0	0	1	1
56	1	35.0	1	1	0
50	0	43.0	1	1	1
18	0	99.0	1	0	0
44	0	21.0	0	1	0
69	0	111.0	0	1	1
30	0	51.0	0	1	1
58	1	110.0	0	1	1
20	1	103.0	0	1	1
56	0	43.0	0	1	1
